,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Tue Nov 12 15:28:05 2024,1,21312.0,527.5290039756343,0.9623684715933749,1.0
1,Tue Nov 12 15:28:05 2024,3,72256.0,991.0580079512685,0.924454689397595,1.0
2,Tue Nov 12 15:28:05 2024,4,37952.0,700.7838379715733,0.9711277782334342,1.0
3,Tue Nov 12 15:28:05 2024,9,33088.0,655.5290039756343,0.9676015543820089,1.0
4,Tue Nov 12 15:28:05 2024,10,89920.0,1100.3128419472075,0.933326933805467,1.0
5,Tue Nov 12 15:28:05 2024,11,26944.0,591.5290039756343,0.9676534425967616,1.0
6,Tue Nov 12 15:28:05 2024,14,21312.0,527.5290039756343,0.9623684715933749,1.0
7,Tue Nov 12 15:28:05 2024,16,10304.0,373.01933598375615,0.9305785220812816,1.0
8,Tue Nov 12 15:28:05 2024,17,64320.0,919.2935059634514,0.9564175029984924,1.0
9,Tue Nov 12 15:28:05 2024,18,10816.0,373.01933598375615,0.9768184486443268,1.0
10,Tue Nov 12 15:28:05 2024,22,72256.0,991.0580079512685,0.924454689397595,1.0
11,Tue Nov 12 15:28:05 2024,23,51008.0,836.5483399593903,0.9159379973273389,1.0
12,Tue Nov 12 15:28:05 2024,26,21312.0,527.5290039756343,0.9623684715933749,1.0
13,Tue Nov 12 15:28:05 2024,27,72000.0,964.5483399593904,0.9725106468871239,1.0
14,Tue Nov 12 15:28:05 2024,28,94784.0,1119.0580079512683,0.9511296005537462,1.0
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Thu Nov 14 11:54:00 2024,1,64576.0,945.8031739553294,0.907150762692416,1.0
1,Thu Nov 14 11:54:00 2024,2,28224.0,618.0386719675123,0.9285325361078806,1.0
2,Thu Nov 14 11:54:00 2024,4,39232.0,727.2935059634514,0.9320321491966831,1.0
3,Thu Nov 14 11:54:00 2024,7,25920.0,591.5290039756343,0.9308780148496162,1.0
4,Thu Nov 14 11:54:00 2024,8,32320.0,636.7838379715732,1.0016065404332657,1.0
5,Thu Nov 14 11:54:00 2024,9,37952.0,700.7838379715733,0.9711277782334342,1.0
6,Thu Nov 14 11:54:00 2024,10,22336.0,527.5290039756342,1.0086083981564204,1.0
7,Thu Nov 14 11:54:00 2024,12,21312.0,527.5290039756343,0.9623684715933749,1.0
8,Thu Nov 14 11:54:00 2024,14,55104.0,855.2935059634514,0.9465915871785567,1.0
9,Thu Nov 14 11:54:00 2024,15,37952.0,700.7838379715733,0.9711277782334342,1.0
10,Thu Nov 14 11:54:00 2024,20,56640.0,855.2935059634514,0.9729774153925932,1.0
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Thu Nov 14 12:29:45 2024,,,,,
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Thu Nov 14 12:31:33 2024,,,,,
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Thu Nov 14 12:37:52 2024,1,64576.0,945.8031739553294,0.907150762692416,1.0
1,Thu Nov 14 12:37:52 2024,2,28224.0,618.0386719675123,0.9285325361078806,1.0
2,Thu Nov 14 12:37:52 2024,4,39232.0,727.2935059634514,0.9320321491966831,1.0
3,Thu Nov 14 12:37:52 2024,7,25920.0,591.5290039756343,0.9308780148496162,1.0
4,Thu Nov 14 12:37:52 2024,8,32320.0,636.7838379715732,1.0016065404332657,1.0
5,Thu Nov 14 12:37:52 2024,9,37952.0,700.7838379715733,0.9711277782334342,1.0
6,Thu Nov 14 12:37:52 2024,10,22336.0,527.5290039756342,1.0086083981564204,1.0
7,Thu Nov 14 12:37:52 2024,12,21312.0,527.5290039756343,0.9623684715933749,1.0
8,Thu Nov 14 12:37:52 2024,14,55104.0,855.2935059634514,0.9465915871785567,1.0
9,Thu Nov 14 12:37:52 2024,15,37952.0,700.7838379715733,0.9711277782334342,1.0
10,Thu Nov 14 12:37:52 2024,20,56640.0,855.2935059634514,0.9729774153925932,1.0
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Nov 15 14:16:23 2024,1,64576.0,945.8031739553294,0.907150762692416,1.0
1,Fri Nov 15 14:16:23 2024,2,28224.0,618.0386719675123,0.9285325361078806,1.0
2,Fri Nov 15 14:16:23 2024,4,39232.0,727.2935059634514,0.9320321491966831,1.0
3,Fri Nov 15 14:16:23 2024,7,25920.0,591.5290039756343,0.9308780148496162,1.0
4,Fri Nov 15 14:16:23 2024,8,32320.0,636.7838379715732,1.0016065404332657,1.0
5,Fri Nov 15 14:16:23 2024,9,37952.0,700.7838379715733,0.9711277782334342,1.0
6,Fri Nov 15 14:16:23 2024,10,22336.0,527.5290039756342,1.0086083981564204,1.0
7,Fri Nov 15 14:16:23 2024,12,21312.0,527.5290039756343,0.9623684715933749,1.0
8,Fri Nov 15 14:16:23 2024,14,55104.0,855.2935059634514,0.9465915871785567,1.0
9,Fri Nov 15 14:16:23 2024,15,37952.0,700.7838379715733,0.9711277782334342,1.0
10,Fri Nov 15 14:16:23 2024,20,56640.0,855.2935059634514,0.9729774153925932,1.0
